,Bound_cond,Comput_time,Errors,Initial_data,Mesh_cell_type,Mesh_description,Mesh_dim,Mesh_is_unstructured,Mesh_names,Mesh_sizes,Mesh_type,Num_method,Numerical_method_time_discretization,PDE_is_stationary,PDE_model,PDE_search_for_stationary_solution,Part_of_mesh_convergence_analysis,Scheme_order,Space_dim,Space_dimn,Test_color
1,Dirichlet,105.016,"[0.03355839110270012, 0.0020587067645301276, 0.00032905176294306665, 8.225076222689858e-05, 2.0561929515272568e-05, 5.140433433137299e-06]",None,Triangles,squareWithTriangles,2,True,"[5, 20, 50, 100, 200, 400]","[7.071067811865475, 28.284271247461906, 70.71067811865474, 141.4213562373095, 282.8427124746191, 565.6854249492382]",Regular_RightTriangles,FE,None,True,Poisson,False,True,2.0039,2.0,,Green
2,Dirichlet,6.369,"[0.17381931436989675, 0.015704630897802694, 0.0050889346986909955, 0.0008049994197372305, 0.00020964279836201426]",None,Triangles,squareWithDelaunayTriangles,2,True,"[u'squareWithTriangles_1', u'squareWithTriangles_2', u'squareWithTriangles_3', u'squareWithTriangles_4', u'squareWithTriangles_5']","[6.32455532033676, 14.966629547095765, 30.561413579872255, 80.13738203859668, 160.8477541030648]",Unstructured_triangles,FE,None,True,Poisson,False,True,2.0156,2.0,,Green
5,Dirichlet,122.079,"[0.15982423149490765, 0.19209081782655904, 0.02588837716517572, 0.10154356764807221, 0.04012117422231292, 0.02035506040978733, 0.05256583314733027]",None,Tetrahedron,cubeWithDelaunayTetrahedra,3,True,"[u'meshCubeTetrahedra_0', u'meshCubeTetrahedra_1', u'meshCubeTetrahedra_2', u'meshCubeTetrahedra_3', u'meshCubeTetrahedra_4', u'meshCubeTetrahedra_5', u'meshCubeTetrahedra_6']","[16.431676725154983, 45.617978911828175, 63.85138996137828, 87.34414691323053, 129.74590552306458, 168.99999999999997, 251.49353868439644]",Unstructured_Tetrahedra,FE,None,True,Poisson,False,True,0.6273,3.0,,Orange (not order 2)
3,Dirichlet,17.547,"[0.0669509874804482, 0.0681584750644647, 0.0647196503439448, 0.06325778881561307, 0.06255657471840799, 0.062189733906443063]",None,Triangles,squareWithTriangles,2,True,"[5, 20, 50, 100, 200, 400]","[7.071067811865475, 28.284271247461906, 70.71067811865474, 141.4213562373095, 282.8427124746191, 565.6854249492382]",Regular_RightTriangles,FV,None,True,Poisson,False,True,0.0212,2.0,,Green
6,Dirichlet,2.386,"[0.04972168575894878, 0.04358040486275293, 0.021907135331019106, 0.011510133471144197, 0.007903217495355106]",None,Triangles,squareWithDelaunayTriangles,2,True,"[u'squareWithTriangles_1', u'squareWithTriangles_2', u'squareWithTriangles_3', u'squareWithTriangles_4', u'squareWithTriangles_5']","[6.32455532033676, 14.966629547095765, 30.561413579872255, 80.13738203859668, 160.8477541030648]",Unstructured_triangles,FV,None,True,Poisson,False,True,0.6138,2.0,,Green
8,Dirichlet,2.38,"[0.046876674938071156, 0.005343400720956583, 0.0013517237061705155, 0.0004892479591165943, 0.0001228308963559409]",None,Hexagons,squareWithHexagons,2,True,"[u'squareWithHexagons_1', u'squareWithHexagons_2', u'squareWithHexagons_3', u'squareWithHexagons_4', u'squareWithHexagons_5']","[5.000000000000001, 15.96871942267131, 31.937438845342623, 53.38539126015656, 107.23805294763609]",Structured_hexagons,FV,None,True,Poisson,False,True,1.9416,2.0,,Green
4,Dirichlet,5.698,"[0.021631644879469406, 0.0013678634059067934, 0.00021897475093210793, 5.478038078209184e-05, 1.370105945151739e-05]",None,Triangles,squareWithEquilateralTriangles,2,True,"[u'squareWithEquilateralTriangles5', u'squareWithEquilateralTriangles20', u'squareWithEquilateralTriangles50', u'squareWithEquilateralTriangles100', u'squareWithEquilateralTriangles200']","[6.32455532033676, 26.07680962081059, 65.57438524302002, 131.14877048603998, 263.058928759318]",Equilateral_triangles,FV,None,True,Poisson,False,True,1.9766,2.0,,Green
0,Dirichlet,10.755,"[0.03355839110269998, 0.002058706764535256, 0.0003290517629437446, 8.225076220744793e-05, 2.0561929520497192e-05, 5.1404348144457395e-06]",None,Squares,squareWithSquares,2,True,"[5, 20, 50, 100, 200, 400]","[5.000000000000001, 20.000000000000004, 49.99999999999999, 100.0, 200.00000000000003, 400.0000000000001]",RegularSquares,FV,None,True,Poisson,False,True,2.0039,2.0,,Green
7,Dirichlet,76.646,"[0.08220526266791427, 0.08443932671400403, 0.08219454187484591, 0.0811274246865842]",None,Tetrahedron,cubeWithRegularTetrahedra,3,True,"[5, 10, 20, 30]","[27.386127875258307, 77.45966692414835, 219.08902300206654, 402.4922359499621]",Regular_Tetrahedra,FV,None,True,Poisson,False,True,0.0065,,3.0,Green
9,Dirichlet,19.588,"[0.24690168316230734, 0.0872326207639392, 0.09807479699639385, 0.09811268005866088, 0.07589566871761522]",None,Tetrahedron,cubeWithDelaunayTetrahedra,3,True,"[u'meshCubeTetrahedra_0', u'meshCubeTetrahedra_1', u'meshCubeTetrahedra_2', u'meshCubeTetrahedra_3', u'meshCubeTetrahedra_4']","[16.431676725154983, 45.617978911828175, 63.85138996137828, 87.34414691323053, 129.74590552306458]",Unstructured_Tetrahedra,FV,None,True,Poisson,False,True,0.5359,3.0,,Green
